Age,Gender,Location_Geotag (city/town/pincode),Type_of_Institution,Course_Completion_Rate (%),Attendance_Rate (%),Scholarships_Awards (Yes/No),Current_Academic_Standing (GPA),Stipend_Allowance_Amount (₹/month),Allowance_Management_Pattern (₹),Internship_PartTime_Job_Income (₹/month),Education_Loan_History,Mobile_Recharge_Frequency (per month),Network_Diversity (no. of links),Language_Sentiment_Score,Daily_Mobile_Usage (hours/day),Ongoing_Certification_Courses,Achievement_Level,Student_Highlight,College_name,Median_Packages (LPA)
21,Male,Chennai,Private,81,76,Yes,8.02,10500,5000,1083,None,1,10,-0.67,7.17,1,1,Patent Holder,Sathyabama,5.2
22,Female,Chennai,Govt,53,61,No,8.16,12500,5000,4722,1x late,2,6,-0.86,4.05,1,4,Award Winner,IIT M,12
25,Male,Lalgudi,Private,68,95,No,5.6,9000,5500,1238,None,3,9,-0.51,9.5,3,4,Social Impact Leader,SNU Chennai,8.26
25,Female,Kumbakonam,Govt,53,96,No,8.38,13500,5000,1077,None,3,9,0.61,9.45,2,1,Research Publication,IIT M,12
24,Female,Tiruchirapalli,Private,79,100,No,8.1,11500,6000,4075,2x late,4,4,0.21,6.6,3,4,Social Impact Leader,SNU Chennai,8.26
19,Female,Dindigul,Govt,83,61,No,8.02,14000,5500,4839,1x late,2,9,-0.79,6.41,1,4,Research Publication,IIT M,12
18,Male,Urapakkam,Private,85,82,No,6.86,11000,7000,934,2x late,3,4,0.08,2.69,2,0,Award Winner,SNU Chennai,8.26
20,Male,Padappai,Private,85,75,Yes,9.19,8000,5500,742,None,1,5,-0.15,3.18,3,3,Social Impact Leader,Savitha,6.15
24,Female,Sholinganallur,Online Platform,96,61,Yes,9.03,6000,5000,219,None,3,2,0.24,5.5,2,0,None,Udemy,0
24,Male,Vellore,Private,91,72,No,9.26,13500,7000,3042,None,5,6,0.3,8.88,1,3,Award Winner,Savitha,6.15
18,Female,Tiruchirapalli,Private,73,81,No,7.88,9000,5500,4902,2x late,1,8,0.31,7.53,3,4,Research Publication,Sastra,7.6
24,Female,Vallam,Govt,65,64,No,7.29,14000,6500,1011,1x late,2,4,-0.21,6,1,1,None,NIT Trichy,9.2
24,Female,Vellore,Private,70,74,Yes,7.17,6500,7000,3133,1x late,3,6,0.87,8.29,1,1,None,Sathyabama,5.2
19,Female,Sholinganallur,Govt,85,85,Yes,7.45,5000,5000,43,1x late,3,6,0.43,9,2,4,Competition Winner,IIT M,12
18,Female,Kumbakonam,Private,90,63,Yes,7.12,8000,6500,1929,1x late,1,7,-0.9,6.18,1,0,Competition Winner,Sathyabama,5.2
25,Female,Kumbakonam,Online Platform,53,67,Yes,5.69,12000,7000,3886,1x late,5,8,-0.04,8.66,3,1,Research Publication,Coursera,0
19,Female,Sholinganallur,Private,60,89,No,9.92,11500,5000,4632,2x late,4,2,-0.7,2.49,3,3,None,Savitha,6.15
25,Female,Tiruvallur,Govt,52,66,No,6.06,11000,5000,2648,2x late,4,8,-0.05,7.01,3,0,Competition Winner,NIT Trichy,9.2
19,Male,Kanchipuram,Govt,65,95,No,6.36,11000,5000,242,2x late,4,3,-0.27,6.47,2,0,Social Impact Leader,IIT M,12
25,Male,Padappai,Online Platform,60,97,No,8.28,7500,5500,4858,None,4,5,-0.19,8.72,1,0,Startup Founder,Coursera,0
19,Female,Thanjavur,Online Platform,73,61,Yes,6.48,9000,5500,476,None,2,1,-0.3,4.78,2,3,Patent Holder,Distance Degree,0
24,Male,Karur,Govt,79,68,Yes,6.49,6000,6500,960,None,2,4,0.12,8.06,2,3,Social Impact Leader,IIIT Kanchipuram,8.6
24,Female,Chennai,Private,88,77,Yes,8.96,11000,7000,3954,2x late,5,10,0.6,5.65,2,1,Innovator,VIT Vellore,10
25,Male,Urapakkam,Govt,89,89,Yes,8.07,9500,6500,894,2x late,2,10,-0.15,9.69,3,1,Competition Winner,IIT M,12
22,Female,Papanasam,Private,88,62,Yes,9.7,7500,7000,4182,2x late,2,1,0.56,6.51,3,2,Award Winner,Sastra,7.6
22,Male,Papanasam,Govt,91,75,Yes,7.24,9000,6000,44,2x late,3,9,0.69,7.24,3,2,Competition Winner,NIT Trichy,9.2
25,Male,Thanjavur,Online Platform,79,74,No,8.11,11500,6000,2332,2x late,1,3,-0.39,5.22,1,1,Innovator,Distance Degree,0
19,Female,Thiruporur,Online Platform,75,97,No,6.76,5500,6000,3786,1x late,1,6,-0.16,7.2,2,2,Patent Holder,Distance Degree,0
25,Male,Madurai,Private,79,74,No,8.34,9000,7000,4619,1x late,2,9,-0.39,9.39,2,1,Award Winner,SNU Chennai,8.26
24,Male,Chengalpattu,Online Platform,51,69,Yes,9.83,15000,7000,1281,None,4,9,-0.88,6.57,1,2,None,Distance Degree,0
22,Male,Vallam,Online Platform,74,77,Yes,7.61,8000,6500,3340,None,1,6,0.52,5.85,1,3,Competition Winner,Distance Degree,0
21,Male,Avadi,Govt,54,89,No,7.31,15000,6000,974,None,1,1,0.13,3.35,1,2,Innovator,IIT M,12
23,Female,Sholinganallur,Private,100,69,No,9.76,11000,5500,1152,1x late,1,7,0.32,5.82,1,4,Startup Founder,SNU Chennai,8.26
25,Female,Vellore,Govt,85,78,Yes,8.95,5500,5000,2650,2x late,5,3,-0.8,7.61,3,0,None,IIIT Kanchipuram,8.6
23,Male,Kanchipuram,Govt,92,98,Yes,8.51,9500,6000,302,None,5,6,-0.68,3.32,2,2,Innovator,IIT M,12
22,Female,Vallam,Govt,54,95,No,5.96,8000,5500,3121,1x late,1,4,-0.53,6.03,1,2,Research Publication,IIT M,12
24,Female,Lalgudi,Private,84,99,No,9.12,7000,6500,647,None,1,9,-0.63,7.16,3,4,None,SNU Chennai,8.26
23,Female,Kanchipuram,Private,80,64,No,8.98,12000,5000,575,None,3,10,0.1,3.1,3,2,None,VIT Vellore,10
22,Male,Avadi,Govt,96,83,Yes,9.96,14000,6500,3964,1x late,4,4,-0.21,4.77,1,4,Patent Holder,IIT M,12
18,Male,Tambaram,Govt,88,95,No,7.04,10500,5000,2113,None,5,5,-0.12,8.7,2,2,Competition Winner,NIT Trichy,9.2
25,Female,Oragadam,Govt,77,100,Yes,9.63,10500,6000,4419,2x late,3,8,0.64,9.17,2,1,Competition Winner,IIIT Kanchipuram,8.6
24,Male,Thiruporur,Govt,63,74,No,9.99,10500,6500,4672,None,3,1,-0.12,8.64,2,0,None,IIIT Kanchipuram,8.6
22,Male,Tambaram,Online Platform,68,95,Yes,8.71,10000,5500,4467,2x late,1,1,0.47,5.3,2,2,Award Winner,Distance Degree,0
22,Male,Lalgudi,Online Platform,64,96,No,8.94,7000,5500,804,None,4,9,-0.02,2.36,2,0,Research Publication,Coursera,0
19,Male,Avadi,Online Platform,52,75,No,6.14,14500,6500,237,None,2,8,-0.81,3.18,2,3,Competition Winner,Udemy,0
19,Male,Karur,Online Platform,51,80,No,5.56,12500,5500,1471,None,2,7,-0.87,9.24,2,2,Patent Holder,Udemy,0
18,Male,Karur,Online Platform,99,63,No,5.72,13500,6500,4803,2x late,2,10,0.74,5.96,2,4,Startup Founder,Distance Degree,0
20,Male,Kanchipuram,Private,72,62,Yes,9.63,6000,6500,4582,2x late,4,3,0.62,3.94,2,0,Research Publication,Sathyabama,5.2
22,Male,Tiruchirapalli,Online Platform,100,61,Yes,6.4,13500,6000,3579,2x late,5,8,-0.16,4.59,3,2,Startup Founder,Udemy,0
20,Male,Kanchipuram,Online Platform,89,69,Yes,9.03,6000,5500,1938,None,1,4,-0.64,4.86,3,1,Innovator,Udemy,0
18,Male,Oragadam,Private,77,78,Yes,7.84,6500,6500,2494,1x late,5,7,-0.5,8.12,1,3,Patent Holder,VIT Vellore,10
20,Male,Urapakkam,Private,62,64,Yes,8.03,8500,7000,40,None,4,6,-0.88,6.19,3,0,Competition Winner,Sathyabama,5.2
20,Male,Vallam,Govt,61,66,Yes,6.54,6000,5000,4399,None,4,4,-0.33,3.3,2,1,Award Winner,IIIT Kanchipuram,8.6
25,Male,Tiruvallur,Private,80,84,Yes,7.4,12000,6500,3841,1x late,4,2,0.96,7.93,2,2,None,Sathyabama,5.2
19,Male,Lalgudi,Online Platform,99,75,Yes,9.17,12500,5500,4888,1x late,2,6,-0.15,5.27,2,4,Award Winner,Distance Degree,0
22,Male,Karur,Online Platform,55,75,No,5.54,15000,5000,4635,2x late,2,3,-0.22,7.52,1,4,Innovator,Coursera,0
24,Female,Siruseri,Govt,90,91,Yes,6.76,15000,7000,4585,1x late,2,2,0.54,9.12,1,3,Award Winner,IIT M,12
23,Female,Papanasam,Online Platform,55,93,No,5.5,7500,6500,2974,2x late,2,1,0.65,2.1,3,0,Startup Founder,Coursera,0
20,Female,Dindigul,Online Platform,98,100,Yes,7.17,12000,6000,4016,1x late,4,6,0.13,9.32,2,4,None,Distance Degree,0
22,Female,Urapakkam,Online Platform,60,90,No,5.63,12500,5000,259,2x late,2,8,-0.17,9.16,1,2,Award Winner,Distance Degree,0
19,Female,Velachery,Private,89,77,No,8.02,5000,6000,1720,1x late,5,1,0.05,8.9,1,0,Research Publication,SNU Chennai,8.26
24,Male,Chennai,Govt,51,76,No,9.91,7500,5000,55,2x late,1,3,-0.5,2.04,1,3,Award Winner,IIIT Kanchipuram,8.6
25,Male,Tambaram,Online Platform,100,95,Yes,8.02,5500,6000,3804,1x late,3,2,-0.76,3.56,2,0,Startup Founder,Distance Degree,0
18,Female,Thiruporur,Private,100,64,Yes,8.87,11000,5000,3111,2x late,4,9,0.3,4.75,3,4,Innovator,VIT Vellore,10
18,Male,Thiruporur,Private,65,97,No,7.16,13000,5000,4720,2x late,4,1,1,7.36,2,2,None,Savitha,6.15
19,Male,Chengalpattu,Online Platform,86,99,Yes,5.95,12000,7000,129,2x late,1,5,-0.32,6.6,3,1,Innovator,Coursera,0
22,Female,Chennai,Private,79,92,Yes,9.75,11500,5500,4998,None,1,7,0.11,7.26,2,2,Award Winner,Savitha,6.15
25,Male,Pattukkottai,Govt,94,100,Yes,7.17,12000,5000,3166,1x late,5,2,-0.61,6.27,2,0,Social Impact Leader,IIT M,12
23,Male,Siruseri,Govt,87,78,Yes,8.79,10500,6000,2960,1x late,5,5,0.02,2.42,1,0,Competition Winner,IIT M,12
20,Male,Kumbakonam,Govt,79,95,Yes,9.23,7000,5500,2230,1x late,2,5,0.32,3.5,1,1,Research Publication,IIT M,12
18,Female,Chennai,Govt,93,97,No,7.69,8500,7000,797,None,1,9,0.75,9.85,2,1,Startup Founder,IIIT Kanchipuram,8.6
20,Male,Chennai,Online Platform,79,83,Yes,8.99,9000,5000,1770,2x late,4,4,0.39,6.1,2,2,Award Winner,Coursera,0
20,Male,Padappai,Private,61,90,No,9.73,9500,6000,1736,1x late,1,8,-0.51,8.7,3,2,Award Winner,VIT Vellore,10
19,Female,Papanasam,Online Platform,57,78,No,9.85,14500,5000,1269,2x late,2,3,0.29,6.17,3,3,Patent Holder,Distance Degree,0
18,Female,Thanjavur,Govt,67,87,Yes,5.92,12000,6500,1564,2x late,3,2,-0.02,4.96,1,1,None,NIT Trichy,9.2
23,Female,Tambaram,Online Platform,92,82,Yes,9.48,8500,5500,898,1x late,1,3,-0.52,9.36,3,2,Research Publication,Udemy,0
23,Male,Oragadam,Private,69,79,Yes,9.04,9500,5000,4359,2x late,4,3,-0.53,6.76,1,2,Social Impact Leader,SNU Chennai,8.26
24,Male,Lalgudi,Online Platform,96,67,No,7.25,6500,5500,3995,2x late,1,7,-0.25,6.27,1,0,None,Distance Degree,0
25,Male,Chengalpattu,Private,91,68,Yes,6.76,11500,6000,1367,None,3,5,0.52,2.39,1,4,Startup Founder,VIT Vellore,10
18,Female,Tambaram,Private,81,63,Yes,9.68,13500,6000,240,2x late,3,7,-0.49,8.9,1,0,Startup Founder,Savitha,6.15
18,Male,Padappai,Online Platform,79,79,No,8.49,5000,7000,3274,1x late,3,1,0.4,8.61,3,2,Research Publication,Distance Degree,0
22,Male,Chengalpattu,Online Platform,90,70,Yes,7.99,12500,5000,2410,None,3,2,0.69,5.27,2,1,Competition Winner,Distance Degree,0
24,Female,Vallam,Govt,79,85,Yes,8.96,6000,7000,1991,1x late,5,6,-0.28,5.43,3,1,Innovator,IIT M,12
20,Female,Thanjavur,Private,79,73,Yes,8.87,11500,5000,4018,None,4,7,-0.19,7.27,1,3,None,Savitha,6.15
20,Male,Chengalpattu,Govt,50,66,No,9.4,10000,7000,3711,1x late,2,4,0.67,9.38,1,2,Social Impact Leader,IIT M,12
22,Female,Madurai,Govt,79,75,No,9.85,13500,7000,3088,2x late,5,5,0.49,6.74,1,3,Innovator,NIT Trichy,9.2
19,Male,Sholinganallur,Govt,67,61,No,6.53,14000,5000,3536,1x late,3,10,-0.5,5.96,1,3,Startup Founder,NIT Trichy,9.2
25,Female,Karur,Govt,50,62,Yes,7.4,8000,6500,2238,2x late,2,8,-0.4,8.63,3,1,Competition Winner,NIT Trichy,9.2
21,Female,Lalgudi,Online Platform,99,98,Yes,8,7000,5500,2558,2x late,1,5,-0.46,5.14,2,2,None,Distance Degree,0
18,Male,Velachery,Private,79,69,Yes,6.29,14000,6000,1359,None,3,6,-0.03,6.28,2,0,Startup Founder,Sastra,7.6
24,Male,Siruseri,Govt,69,91,No,8.2,7500,5000,4345,1x late,1,10,-0.82,4.34,2,4,Innovator,IIT M,12
23,Male,Karaikal,Private,74,81,Yes,6.91,15000,5000,487,1x late,3,2,-0.14,9.09,2,4,Startup Founder,Sastra,7.6
22,Male,Dindigul,Online Platform,85,60,Yes,9.64,9000,5500,3553,1x late,1,6,0.78,8.98,3,0,None,Udemy,0
21,Female,Padappai,Private,73,92,No,9.87,6500,6500,3930,None,3,5,-0.1,3.77,2,4,Innovator,Sastra,7.6
23,Female,Papanasam,Private,73,85,No,5.77,9500,6000,2386,None,1,2,0.31,2.43,2,4,Competition Winner,Sastra,7.6
25,Male,Madurai,Private,65,100,No,5.51,10000,5000,2682,None,2,5,1,6.64,1,1,Social Impact Leader,Sastra,7.6
24,Female,Sriperumbudur,Online Platform,80,85,No,7.71,9500,5000,2662,None,3,3,0.01,9.67,1,4,Research Publication,Coursera,0
19,Male,Siruseri,Govt,53,63,Yes,9.67,14500,7000,2422,2x late,5,7,0.15,2.63,1,2,Competition Winner,IIIT Kanchipuram,8.6
21,Male,Urapakkam,Private,79,82,Yes,8.16,7000,5000,1839,2x late,4,5,0.98,3.14,1,0,Research Publication,VIT Vellore,10
18,Male,Kumbakonam,Govt,65,96,No,6.79,12500,6000,173,1x late,4,2,0.39,2.13,2,2,Competition Winner,NIT Trichy,9.2
18,Male,Karur,Private,83,89,No,6.53,11000,6500,2949,2x late,2,8,0.89,5.42,1,1,Research Publication,SNU Chennai,8.26
18,Female,Thanjavur,Govt,62,79,No,8.57,10000,6000,3301,2x late,2,10,0.54,3.79,2,0,Startup Founder,IIIT Kanchipuram,8.6
21,Female,Sriperumbudur,Govt,63,66,Yes,7.76,7500,5000,785,1x late,4,7,-0.5,2.11,1,1,Award Winner,NIT Trichy,9.2
22,Female,Sholinganallur,Private,76,75,Yes,7,12000,6500,395,1x late,4,4,0.75,2.87,1,2,Patent Holder,Sastra,7.6
25,Male,Kumbakonam,Govt,83,88,Yes,8.7,12500,6000,1187,1x late,5,6,-0.39,7.8,2,0,Competition Winner,NIT Trichy,9.2
22,Male,Thanjavur,Online Platform,75,73,No,9.89,12000,7000,3397,1x late,2,7,0.63,3.81,3,3,Patent Holder,Coursera,0
22,Female,Padappai,Govt,61,80,No,6.56,5500,6000,3401,1x late,5,3,-0.66,5.7,3,1,Innovator,NIT Trichy,9.2
22,Male,Vellore,Govt,80,77,Yes,6.66,11000,6500,2237,2x late,3,5,-0.97,8.15,2,2,Innovator,NIT Trichy,9.2
23,Male,Avadi,Govt,55,74,No,6.91,5000,7000,302,2x late,1,7,-0.59,9.96,3,1,None,IIT M,12
22,Male,Thiruporur,Govt,73,72,No,6.05,5000,6000,302,2x late,2,2,0.55,3.21,1,2,Competition Winner,IIT M,12
19,Male,Sriperumbudur,Private,60,60,No,9.1,8500,6500,463,2x late,2,7,0.23,9.43,2,2,Award Winner,Savitha,6.15
22,Male,Sholinganallur,Online Platform,79,63,No,9.52,6000,5000,2344,2x late,2,3,-0.75,4.47,2,0,Research Publication,Coursera,0
24,Male,Dindigul,Private,56,92,Yes,6.89,13000,5000,4987,None,2,2,-0.72,7.42,1,4,Startup Founder,SNU Chennai,8.26
19,Female,Karur,Online Platform,82,71,Yes,6.87,7500,5000,1336,None,4,4,-0.24,3.27,1,0,Research Publication,Udemy,0
23,Female,Dindigul,Private,99,67,No,8.38,10500,6500,1758,None,2,5,-0.05,3.82,3,1,Competition Winner,Sastra,7.6
21,Male,Chengalpattu,Private,98,81,Yes,5.51,7000,6500,3108,1x late,3,5,0.24,3.68,2,4,Startup Founder,VIT Vellore,10
24,Male,Vellore,Online Platform,52,88,Yes,8.38,7000,5500,3431,1x late,4,1,0.52,5.47,1,4,Patent Holder,Coursera,0
21,Female,Chennai,Govt,91,70,Yes,7.52,6500,5000,1187,None,1,7,0.56,7.04,3,4,Research Publication,IIIT Kanchipuram,8.6
23,Male,Kanchipuram,Online Platform,65,88,No,8.02,9000,5500,2708,2x late,3,1,-0.17,9.22,1,0,Social Impact Leader,Coursera,0
20,Female,Avadi,Online Platform,58,85,Yes,6.01,7000,6500,4586,1x late,1,8,0.45,7.4,1,1,Patent Holder,Coursera,0
22,Female,Sholinganallur,Govt,58,72,No,5.9,11000,5000,1526,2x late,4,9,0.37,5.94,2,3,Patent Holder,IIIT Kanchipuram,8.6
21,Male,Kanchipuram,Govt,53,68,Yes,6.24,14500,6000,224,1x late,3,5,-0.02,2.8,2,1,Research Publication,IIT M,12
25,Female,Thiruporur,Private,62,83,Yes,8.07,9500,5000,1211,1x late,5,6,-0.3,7.81,3,0,Innovator,SNU Chennai,8.26
24,Female,Kanchipuram,Private,74,89,No,6.34,8000,5000,1162,1x late,4,5,-0.91,7.77,2,4,Social Impact Leader,VIT Vellore,10
21,Female,Papanasam,Private,74,95,Yes,6.15,7500,6500,1740,None,2,9,-0.1,2.82,1,3,Award Winner,Savitha,6.15
21,Male,Chennai,Private,90,65,No,7.41,14500,5000,3438,1x late,4,2,0.68,5.76,2,2,None,Sathyabama,5.2
24,Male,Vallam,Govt,63,66,Yes,7.21,13500,5500,4498,None,1,2,-0.75,2.84,1,4,Startup Founder,IIIT Kanchipuram,8.6
20,Female,Siruseri,Private,74,62,No,6.58,14500,6500,963,2x late,1,2,-0.2,8.66,1,0,Competition Winner,Savitha,6.15
19,Male,Oragadam,Govt,95,65,No,7.68,8500,6500,3631,2x late,5,4,-0.11,7.14,2,0,Research Publication,NIT Trichy,9.2
22,Male,Dindigul,Private,65,84,Yes,6.9,15000,7000,1546,1x late,1,6,-0.82,2.37,2,4,None,VIT Vellore,10
23,Female,Chengalpattu,Online Platform,76,87,Yes,6.41,5500,5000,3550,None,3,3,0.4,2.8,3,1,Startup Founder,Coursera,0
25,Female,Urapakkam,Online Platform,97,60,Yes,7.38,7500,5500,3384,1x late,1,2,-0.43,5.35,2,1,Competition Winner,Udemy,0
21,Female,Sholinganallur,Govt,93,99,Yes,9.21,13000,5500,4033,2x late,3,7,0.34,8.15,3,0,Research Publication,IIT M,12
22,Male,Karur,Private,88,66,Yes,6.29,11500,5000,4604,1x late,1,1,0.98,5.83,1,4,Research Publication,VIT Vellore,10
24,Male,Dindigul,Govt,69,73,Yes,9.09,9500,5000,4884,2x late,3,1,-0.5,5.35,2,3,Social Impact Leader,IIIT Kanchipuram,8.6
24,Male,Lalgudi,Govt,93,92,Yes,9.53,8500,5000,4425,1x late,4,10,-0.09,8.29,2,2,Patent Holder,NIT Trichy,9.2
24,Male,Oragadam,Online Platform,82,60,No,8.56,10500,7000,4542,1x late,1,1,0.05,3.4,3,0,Research Publication,Coursera,0
25,Male,Kanchipuram,Online Platform,77,70,Yes,5.51,11000,5500,3106,2x late,3,10,0.49,5.86,3,3,Research Publication,Distance Degree,0
24,Male,Tiruvallur,Govt,68,71,Yes,5.64,13500,6000,4838,2x late,5,2,-0.13,6.12,1,0,Award Winner,IIT M,12
20,Female,Oragadam,Govt,84,98,No,8.9,15000,7000,3570,None,2,4,0.63,3.63,3,3,Startup Founder,IIIT Kanchipuram,8.6
18,Female,Oragadam,Private,82,98,No,7.37,10000,7000,82,1x late,3,1,0.34,8.99,1,4,Award Winner,VIT Vellore,10
21,Male,Kumbakonam,Govt,99,73,Yes,6.98,8500,6000,4111,1x late,3,3,-0.43,4.9,1,1,Patent Holder,IIT M,12
25,Male,Chennai,Govt,86,63,No,6.91,6000,7000,4718,None,1,9,0.76,2.7,1,3,Patent Holder,IIT M,12
18,Female,Thiruporur,Private,85,75,No,6.23,13000,7000,822,2x late,5,4,-0.45,9.78,3,1,None,SNU Chennai,8.26
18,Female,Papanasam,Govt,60,88,Yes,7.65,11000,5500,3182,1x late,3,4,-0.74,4.07,1,3,Startup Founder,IIT M,12
22,Female,Chennai,Private,67,96,No,6.81,14000,6000,2117,None,1,6,-0.05,7.98,2,1,Patent Holder,Sathyabama,5.2
25,Male,Velachery,Private,86,86,Yes,9.98,14500,6000,4306,1x late,5,3,-0.18,5.02,2,0,Innovator,Savitha,6.15
18,Male,Tiruvallur,Online Platform,55,94,Yes,8.98,12500,5000,3658,1x late,1,10,0.33,7.15,1,3,Innovator,Udemy,0
21,Male,Vellore,Online Platform,56,88,Yes,8.53,6500,6500,1822,2x late,2,5,0.85,3.69,3,4,Research Publication,Coursera,0
22,Male,Karur,Online Platform,98,94,Yes,5.69,12000,5000,996,None,1,8,0.56,5.9,3,2,Patent Holder,Coursera,0
20,Female,Kumbakonam,Govt,62,96,Yes,8.49,14500,5000,376,2x late,4,4,-0.71,6.62,2,3,Research Publication,IIIT Kanchipuram,8.6
19,Male,Tambaram,Govt,55,100,Yes,9.74,15000,6500,4327,1x late,3,7,-0.18,3.56,1,4,Patent Holder,IIIT Kanchipuram,8.6
24,Male,Siruseri,Private,93,84,Yes,6.55,12000,7000,1964,None,4,6,-0.12,4.39,3,0,None,Sastra,7.6
25,Female,Chennai,Govt,98,98,No,6.92,10500,6500,2221,None,1,1,0.85,6.88,2,2,Patent Holder,IIIT Kanchipuram,8.6
19,Female,Kumbakonam,Private,98,64,Yes,6.04,12000,5000,1006,1x late,1,7,0.62,7.83,1,4,None,SNU Chennai,8.26
19,Male,Sriperumbudur,Online Platform,89,62,Yes,7.61,6500,6000,3943,1x late,1,5,-0.38,6.46,1,0,Competition Winner,Coursera,0
21,Male,Papanasam,Govt,86,70,No,6.63,15000,5000,3866,1x late,5,10,-0.13,6.92,3,0,Award Winner,IIIT Kanchipuram,8.6
23,Male,Sriperumbudur,Online Platform,60,76,No,8.78,7500,5000,4392,1x late,5,4,0.3,2.01,2,2,Startup Founder,Coursera,0
24,Female,Sriperumbudur,Online Platform,73,95,No,8.1,12000,7000,1420,None,3,5,-0.86,2.82,1,4,Competition Winner,Distance Degree,0
21,Female,Madurai,Online Platform,59,96,No,6.82,13000,5500,3639,2x late,2,1,-0.07,9.24,1,3,Innovator,Udemy,0
18,Male,Vellore,Online Platform,70,71,No,5.87,9500,6500,1503,None,3,9,-0.79,9.39,2,4,None,Distance Degree,0
25,Male,Velachery,Online Platform,67,97,No,9.65,7500,7000,4241,2x late,2,1,-0.16,6.94,3,0,Research Publication,Coursera,0
19,Male,Chennai,Online Platform,59,89,No,9.6,15000,7000,1101,2x late,3,4,0.3,4.29,1,1,Patent Holder,Coursera,0
24,Female,Pattukkottai,Govt,85,65,Yes,9.2,8500,5500,3332,2x late,4,7,0.24,7.42,2,3,Innovator,IIIT Kanchipuram,8.6
24,Male,Kanchipuram,Private,59,79,No,9.38,5000,5500,4821,None,2,2,0.16,4.21,3,0,Competition Winner,Savitha,6.15
21,Male,Thanjavur,Govt,89,89,No,8.68,7500,5500,1090,2x late,3,5,0.65,7.06,2,0,Research Publication,NIT Trichy,9.2
20,Male,Urapakkam,Private,81,73,No,8.3,9500,6000,4264,2x late,4,5,0.43,3.02,1,2,Startup Founder,Sastra,7.6
